DocTitle,IndexerTime
2047820789.xml,9
1870400829.xml,11
1168950389.xml,11
393749199.xml,10
617182619.xml,13
928970209.xml,12
1907598599.xml,11
120545699.xml,19
1340193849.xml,10
688877749.xml,15
1661671729.xml,10
1113847279.xml,23
1980017029.xml,10
1664844569.xml,16
1023201529.xml,9
225321299.xml,15
1167640689.xml,9
1743531729.xml,10
1177114399.xml,10
1993369339.xml,10
1092664529.xml,11
170054189.xml,10
479333249.xml,11
1677039549.xml,18
756937479.xml,13
443565759.xml,30
336835839.xml,13
144100579.xml,20
106673679.xml,8
10867259.xml,17
775412839.xml,10
408262189.xml,16
115496749.xml,18
240313549.xml,12
2140195829.xml,14
470947759.xml,12
1129066729.xml,15
1524669359.xml,14
1793445929.xml,16
1943119659.xml,17
1794837749.xml,9
382386869.xml,12
1469210079.xml,9
1560426829.xml,12
278133409.xml,16
1203956419.xml,10
2130464739.xml,15
454087709.xml,18
719068919.xml,18
455192039.xml,9
969655129.xml,10
1290437949.xml,13
1109474999.xml,11
1928369889.xml,10
2088451529.xml,11
1362536819.xml,10
714741679.xml,11
847292679.xml,12
2089066529.xml,10
202122909.xml,10
1732067039.xml,33
1033915679.xml,16
462979459.xml,15
1631564819.xml,10
1394195099.xml,9
1359385909.xml,16
1746508819.xml,12
1371493379.xml,11
1927080619.xml,8
1473445189.xml,8
1381089389.xml,15
1975056219.xml,7
881591209.xml,10
2019138749.xml,22
1540476339.xml,13
1751987149.xml,15
877388149.xml,8
1414714729.xml,7
1850151159.xml,11
1914840709.xml,12
1980016069.xml,15
1432616359.xml,11
416292779.xml,15
396731039.xml,10
2102596469.xml,14
401851249.xml,11
1117237929.xml,9
891924309.xml,10
542721569.xml,15
779814679.xml,16
1980046879.xml,9
1213879509.xml,20
278943579.xml,444
464573459.xml,9
6694229.xml,9
308300489.xml,21
1406229499.xml,8
844965359.xml,10
1774971659.xml,12
1115837799.xml,9
420097049.xml,16
348177149.xml,11
981609119.xml,15
811145399.xml,12
1551473299.xml,17
1095990389.xml,18
817217099.xml,15
1741305319.xml,17
518374489.xml,8
1671697229.xml,15
435969749.xml,21
1213441409.xml,27
501833729.xml,13
462596759.xml,24
778290719.xml,9
1427470549.xml,21
544124539.xml,9
815159279.xml,16
1838707169.xml,8
617988399.xml,9
580183949.xml,15
985760499.xml,9
1450565379.xml,13
1466575759.xml,7
2017512809.xml,22
1598045509.xml,10
1671406239.xml,8
1802873059.xml,9
868243799.xml,11
980753699.xml,16
2129817029.xml,11
1476892889.xml,14
1335842409.xml,8
1657416259.xml,11
1386653479.xml,13
2122754109.xml,12
1956797299.xml,8
318374979.xml,9
2117120559.xml,8
1908611409.xml,13
1240600999.xml,13
1156487329.xml,11
457297999.xml,10
1437144259.xml,15
1405791289.xml,11
2109393189.xml,10
1325543279.xml,9
418286739.xml,10
247673819.xml,9
897286779.xml,10
1734569609.xml,8
1787914069.xml,10
1709770879.xml,10
1900599959.xml,11
945485429.xml,11
471529939.xml,12
1208602709.xml,9
692991979.xml,9
1765106739.xml,11
1524649909.xml,10
1578414379.xml,10
1315454509.xml,7
1117403369.xml,9
278702499.xml,10
1578200619.xml,19
1759290809.xml,16
1138321399.xml,12
1350025029.xml,13
663952449.xml,16
526991749.xml,16
1415653239.xml,11
65846799.xml,11
152547309.xml,11
615329649.xml,14
1578915559.xml,13
625039639.xml,20
585205999.xml,8
1043747609.xml,9
1013397989.xml,8
1931829459.xml,18
241577829.xml,8
494620409.xml,12
1616427059.xml,11
338097609.xml,16
1912571819.xml,13
626454399.xml,17
2044541079.xml,260
356513339.xml,10
637883709.xml,9
789839429.xml,8
522137429.xml,8
506036329.xml,10
1136924799.xml,9
2133656329.xml,12
1649803709.xml,10
2010288659.xml,9
779190729.xml,10
1966782739.xml,10
1819586579.xml,9
882133509.xml,8
1561192129.xml,11
505902639.xml,10
1109413479.xml,11
1667409029.xml,16
104431909.xml,12
118159899.xml,11
858465669.xml,9
52523469.xml,10
576471219.xml,9
1732672269.xml,16
1521671719.xml,13
1868692639.xml,14
127773849.xml,18
1903884219.xml,14
938140479.xml,9
1733454659.xml,8
180898639.xml,29
2056674069.xml,9
1681607049.xml,14
328913509.xml,6
645058179.xml,15
417122249.xml,14
102251899.xml,17
1742736869.xml,9
1188021739.xml,20
423002689.xml,8
1203012779.xml,10
793120679.xml,16
1096550699.xml,9
1847061279.xml,12
210314369.xml,9
2076918319.xml,8
787514879.xml,7
1820134389.xml,8
743671069.xml,7
1130299209.xml,8
221683339.xml,9
997875919.xml,9
426510699.xml,9
1619575399.xml,7
2052799629.xml,9
1600847819.xml,19
1914107439.xml,13
901844029.xml,14
1706773869.xml,13
1582794129.xml,13
1463835739.xml,11
2007848339.xml,11
2043962099.xml,14
171373459.xml,10
998669809.xml,9
1727912469.xml,14
1082818309.xml,8
2049902939.xml,4
589168399.xml,14
942227659.xml,8
662524849.xml,41
349502219.xml,19
755612599.xml,9
214348679.xml,14
320129179.xml,11
1257275849.xml,8
1800955989.xml,14
1492683669.xml,9
1665945549.xml,14
1329919979.xml,6
1872583619.xml,14
2057582889.xml,7
520216569.xml,16
899902869.xml,9
191943219.xml,15
159731829.xml,10
1586007589.xml,15
1298506219.xml,14
2027118919.xml,22
948718349.xml,9
1963743779.xml,14
676710639.xml,8
1330050319.xml,13
1436698309.xml,8
1398018889.xml,11
1512650539.xml,9
1091038589.xml,8
652820919.xml,14
1838510719.xml,11
1478535119.xml,9
462296649.xml,6
1214524169.xml,22
1980052589.xml,14
1801945469.xml,14
17649519.xml,14
1957158799.xml,15
1477968199.xml,19
1738221729.xml,7
459956289.xml,8
2134306149.xml,8
59522799.xml,44
348004359.xml,14
807538489.xml,21
1473063379.xml,9
1890958009.xml,13
87895029.xml,10
1635558369.xml,8
1928153589.xml,8
256830489.xml,7
1926265249.xml,5
493792369.xml,7
391186929.xml,9
923660809.xml,10
1421194589.xml,8
1492167159.xml,21
1781972739.xml,6
502027659.xml,11
1508785119.xml,14
1837736929.xml,14
1918482459.xml,10
2078081589.xml,10
1055901159.xml,7
1656395779.xml,8
26411599.xml,12
1094774919.xml,8
702561009.xml,16
999291659.xml,7
1951270109.xml,7
707902909.xml,8
1372854529.xml,9
2051576099.xml,8
1333851739.xml,9
575621919.xml,8
821607129.xml,7
1823298329.xml,6
1342427319.xml,6
1631266969.xml,9
314307359.xml,9
322821419.xml,8
455071649.xml,8
1558065439.xml,8
1942355229.xml,8
98527259.xml,9
1973728689.xml,5
2133044699.xml,9
1216374079.xml,10
1311570489.xml,9
1275782889.xml,7
1980018949.xml,8
2026269609.xml,9
