DocTitle,IndexerTime
1184819010.xml,27
807021750.xml,5
1707096720.xml,8
1427443700.xml,8
987281330.xml,20
703066760.xml,19
715102500.xml,7
1148049490.xml,13
1561559200.xml,7
1387480680.xml,7
617225880.xml,6
317140690.xml,5
1427442740.xml,13
1187723830.xml,18
426651570.xml,11
724823120.xml,13
748734990.xml,18
1261756540.xml,18
971221490.xml,17
1423164520.xml,7
966907110.xml,221
1688413330.xml,11
429049250.xml,22
45550150.xml,13
1325373370.xml,13
268286340.xml,5
1755479620.xml,18
17241240.xml,7
574607720.xml,14
901031070.xml,20
125835190.xml,14
1724444200.xml,10
1427474390.xml,8
1960856720.xml,16
1627264070.xml,17
1427886000.xml,31
579385070.xml,12
873393190.xml,14
1715680650.xml,7
1188021740.xml,8
338048010.xml,8
1362089320.xml,7
1069168750.xml,12
362377170.xml,11
1542601680.xml,14
1361737460.xml,12
1308210890.xml,12
580657480.xml,11
1275506870.xml,16
1393062340.xml,22
712276100.xml,13
1980049700.xml,13
402129500.xml,7
1362208080.xml,7
761840790.xml,6
991995470.xml,9
1244490890.xml,7
77046360.xml,8
159915530.xml,9
280196110.xml,8
456253480.xml,7
1837224750.xml,6
2137769490.xml,10
1234905450.xml,6
1639673160.xml,8
525157850.xml,8
697754280.xml,7
1858726660.xml,8
1543154720.xml,8
446376650.xml,7
1732364870.xml,9
1980014210.xml,8
651294170.xml,8
163489930.xml,6
367838450.xml,7
959641500.xml,8
1801043790.xml,7
1865855310.xml,8
1102353530.xml,7
1311526170.xml,7
2141112740.xml,8
1671133960.xml,8
1385866520.xml,7
1899370810.xml,7
1136458310.xml,11
1980048800.xml,10
1779818690.xml,12
1483946570.xml,6
1244470230.xml,7
1619863290.xml,9
1932565680.xml,6
1594619190.xml,9
1296247240.xml,8
1316607570.xml,8
137379950.xml,5
2096467080.xml,5
1123978560.xml,6
1729604100.xml,7
1727614330.xml,9
663380980.xml,7
596713090.xml,8
1162776980.xml,7
780534230.xml,6
391504630.xml,8
1404146740.xml,8
1830452820.xml,7
1449338270.xml,7
176988750.xml,6
1691544290.xml,8
1247112500.xml,7
1679169320.xml,5
327335280.xml,8
2010908390.xml,9
340998230.xml,7
1980050690.xml,7
529114300.xml,8
398066760.xml,7
871801890.xml,8
654875430.xml,12
1849967770.xml,6
1364483410.xml,4
1798928270.xml,9
1187634420.xml,5
1365349280.xml,9
1388923040.xml,7
639527250.xml,13
798391930.xml,5
2141301750.xml,8
673420280.xml,6
856102920.xml,13
1013247420.xml,9
174518710.xml,5
1807818980.xml,5
558282420.xml,13
1697600190.xml,8
1334427930.xml,9
466881800.xml,7
1732645740.xml,10
716511130.xml,8
612591040.xml,8
1112778990.xml,9
162013750.xml,7
546792110.xml,6
1838149680.xml,8
743671070.xml,6
931479910.xml,7
1019707120.xml,5
1806537350.xml,7
569124970.xml,7
1899440870.xml,8
1362092210.xml,5
1635277730.xml,6
32990600.xml,9
1977787680.xml,8
2133381660.xml,6
1870005820.xml,6
1942844760.xml,8
809609600.xml,7
1850150260.xml,7
1980018920.xml,7
843364830.xml,7
1187634450.xml,8
1427446590.xml,6
298177840.xml,6
641819710.xml,14
181923160.xml,6
739659700.xml,15
1068562100.xml,5
1795385790.xml,8
1846816230.xml,7
131743050.xml,5
200290340.xml,9
225682290.xml,5
2065481290.xml,8
595949270.xml,7
1696231440.xml,11
858519790.xml,7
1385067350.xml,13
714301850.xml,7
1580587360.xml,10
34529230.xml,13
974750620.xml,13
1326141670.xml,5
1980014110.xml,7
1448179240.xml,17
395651040.xml,7
1309035460.xml,8
1006547150.xml,7
568820840.xml,7
343152500.xml,7
1440579130.xml,6
1559727310.xml,9
222755740.xml,9
420663990.xml,11
1190053110.xml,6
1676186070.xml,16
1098779700.xml,9
1349811920.xml,8
1482771260.xml,7
719280390.xml,6
304938020.xml,8
188431390.xml,7
28794310.xml,8
1565414080.xml,4
1583940720.xml,9
1489025320.xml,7
1732161870.xml,7
1685948730.xml,10
2062159530.xml,6
2061398860.xml,13
539198120.xml,8
1823026410.xml,6
546330390.xml,8
801200550.xml,7
2003785440.xml,7
1619984130.xml,7
539102020.xml,7
1871546800.xml,8
1704051370.xml,8
471518290.xml,9
135412420.xml,6
1945221170.xml,7
439664190.xml,8
1366377700.xml,8
2111315030.xml,7
773056890.xml,7
